Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,145,130,15,3.8530013551935802,3.454415008104589
.. Anestesista,6,6,0,0.1594345388355964,0.1594345388355964
.. Cirurgião Geral,24,23,1,0.6377381553423856,0.6111657322031196
.. Clínico Geral,24,23,1,0.6377381553423856,0.6111657322031196
.. Gineco Obstetra,13,10,3,0.3454415008104589,0.26572423139266066
.. Médico de Família,5,5,0,0.13286211569633033,0.13286211569633033
.. Pediatra,17,14,3,0.4517311933675232,0.372013923949725
.. Psiquiatra,1,1,0,0.02657242313926607,0.02657242313926607
.. Radiologista,8,3,5,0.21257938511412855,0.0797172694177982
Cirurgião dentista,18,17,1,0.47830361650678926,0.4517311933675232
Enfermeiro,19,19,0,0.5048760396460553,0.5048760396460553
Fisioterapeuta,6,5,1,0.1594345388355964,0.13286211569633033
Fonoaudiólogo,3,1,2,0.0797172694177982,0.02657242313926607
Nutricionista,1,1,0,0.02657242313926607,0.02657242313926607
Farmacêutico,7,6,1,0.1860069619748625,0.1594345388355964
Assistente social,2,2,0,0.05314484627853214,0.05314484627853214
Psicólogo,3,2,1,0.0797172694177982,0.05314484627853214
Auxiliar de Enfermagem,17,17,0,0.4517311933675232,0.4517311933675232
Técnico de Enfermagem,64,63,1,1.7006350809130284,1.6740626577737623
