Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,417,276,141,5.215042333137404,3.4516826953139654
.. Anestesista,8,6,2,0.10004877377721638,0.07503658033291229
.. Cirurgião Geral,40,34,6,0.500243868886082,0.4252072885531697
.. Clínico Geral,101,88,13,1.2631157689373569,1.1005365115493804
.. Gineco Obstetra,37,27,10,0.46272557871962583,0.33766461149810534
.. Médico de Família,6,6,0,0.07503658033291229,0.07503658033291229
.. Pediatra,35,24,11,0.4377133852753217,0.30014632133164915
.. Psiquiatra,6,3,3,0.07503658033291229,0.03751829016645614
.. Radiologista,20,5,15,0.250121934443041,0.06253048361076025
Cirurgião dentista,135,50,85,1.6883230574905268,0.6253048361076025
Enfermeiro,46,46,0,0.5752804492189943,0.5752804492189943
Fisioterapeuta,32,10,22,0.40019509510886553,0.1250609672215205
Fonoaudiólogo,17,7,10,0.21260364427658485,0.08754267705506434
Nutricionista,9,6,3,0.11255487049936844,0.07503658033291229
Farmacêutico,11,7,4,0.13756706394367255,0.08754267705506434
Assistente social,10,10,0,0.1250609672215205,0.1250609672215205
Psicólogo,52,19,33,0.6503170295519066,0.23761583772088893
Auxiliar de Enfermagem,72,71,1,0.9004389639949475,0.8879328672727955
Técnico de Enfermagem,192,187,5,2.401170570653193,2.338640087042433
