Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,609,384,225,7.35773831098224,4.639362087712939
.. Anestesista,17,10,7,0.2053884257581249,0.12081672103419114
.. Cirurgião Geral,38,35,3,0.4591035399299263,0.42285852361966897
.. Clínico Geral,142,111,31,1.715597438685514,1.3410656034795216
.. Gineco Obstetra,50,26,24,0.6040836051709556,0.31412347468889695
.. Médico de Família,12,12,0,0.14498006524102935,0.14498006524102935
.. Pediatra,82,50,32,0.9906971124803673,0.6040836051709556
.. Psiquiatra,12,8,4,0.14498006524102935,0.09665337682735291
.. Radiologista,15,12,3,0.1812250815512867,0.14498006524102935
Cirurgião dentista,130,68,62,1.5706173734444848,0.8215537030324996
Enfermeiro,48,46,2,0.5799202609641174,0.5557569167572791
Fisioterapeuta,21,10,11,0.25371511417180137,0.12081672103419114
Fonoaudiólogo,9,6,3,0.10873504893077202,0.07249003262051468
Nutricionista,5,5,0,0.06040836051709557,0.06040836051709557
Farmacêutico,12,8,4,0.14498006524102935,0.09665337682735291
Assistente social,8,8,0,0.09665337682735291,0.09665337682735291
Psicólogo,23,15,8,0.27787845837863956,0.1812250815512867
Auxiliar de Enfermagem,84,84,0,1.0148604566872055,1.0148604566872055
Técnico de Enfermagem,137,135,2,1.6551890781684184,1.6310257339615801
