Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,11,11,0,1.433972102724547,1.433972102724547
.. Anestesista,0,0,0,0,0
.. Cirurgião Geral,0,0,0,0,0
.. Clínico Geral,4,4,0,0.5214444009907443,0.5214444009907443
.. Gineco Obstetra,2,2,0,0.26072220049537215,0.26072220049537215
.. Médico de Família,1,1,0,0.13036110024768607,0.13036110024768607
.. Pediatra,1,1,0,0.13036110024768607,0.13036110024768607
.. Psiquiatra,1,1,0,0.13036110024768607,0.13036110024768607
.. Radiologista,0,0,0,0,0
Cirurgião dentista,4,4,0,0.5214444009907443,0.5214444009907443
Enfermeiro,3,3,0,0.39108330074305825,0.39108330074305825
Fisioterapeuta,0,0,0,0,0
Fonoaudiólogo,0,0,0,0,0
Nutricionista,0,0,0,0,0
Farmacêutico,0,0,0,0,0
Assistente social,0,0,0,0,0
Psicólogo,1,1,0,0.13036110024768607,0.13036110024768607
Auxiliar de Enfermagem,8,8,0,1.0428888019814886,1.0428888019814886
Técnico de Enfermagem,0,0,0,0,0
