Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,14,14,0,2.028397565922921,2.028397565922921
.. Anestesista,0,0,0,0,0
.. Cirurgião Geral,0,0,0,0,0
.. Clínico Geral,3,3,0,0.43465662126919735,0.43465662126919735
.. Gineco Obstetra,3,3,0,0.43465662126919735,0.43465662126919735
.. Médico de Família,2,2,0,0.28977108084613157,0.28977108084613157
.. Pediatra,3,3,0,0.43465662126919735,0.43465662126919735
.. Psiquiatra,1,1,0,0.14488554042306578,0.14488554042306578
.. Radiologista,0,0,0,0,0
Cirurgião dentista,7,7,0,1.0141987829614605,1.0141987829614605
Enfermeiro,4,4,0,0.5795421616922631,0.5795421616922631
Fisioterapeuta,1,0,1,0.14488554042306578,0
Fonoaudiólogo,0,0,0,0,0
Nutricionista,0,0,0,0,0
Farmacêutico,0,0,0,0,0
Assistente social,0,0,0,0,0
Psicólogo,1,1,0,0.14488554042306578,0.14488554042306578
Auxiliar de Enfermagem,9,9,0,1.303969863807592,1.303969863807592
Técnico de Enfermagem,0,0,0,0,0
