Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,4625,2545,2080,7.509506629473637,4.132258242596844
.. Anestesista,162,86,76,0.2630356916702117,0.13963623138048276
.. Cirurgião Geral,260,183,77,0.422156048359599,0.2971329109607947
.. Clínico Geral,735,548,187,1.193402675170405,0.8897750557733087
.. Gineco Obstetra,401,216,185,0.6510945207392277,0.35071425556028224
.. Médico de Família,0,0,0,0,0
.. Pediatra,468,306,162,0.7598808870472782,0.4968451953770665
.. Psiquiatra,91,60,31,0.14775461692585964,0.09742062654452284
.. Radiologista,175,87,88,0.2841434940881916,0.14125990848955813
Cirurgião dentista,806,212,594,1.308683749914757,0.34421954712398073
Enfermeiro,577,465,112,0.9368616919364947,0.7550098557200521
Fisioterapeuta,253,74,179,0.41079030859607135,0.12015210607157818
Fonoaudiólogo,119,29,90,0.19321757597997033,0.04708663616318604
Nutricionista,49,32,17,0.07956017834469366,0.05195766749041218
Farmacêutico,59,28,31,0.09579694943544748,0.045462959054110665
Assistente social,43,36,7,0.06981811569024138,0.058452375926713714
Psicólogo,314,65,249,0.5098346122496696,0.10553901208989976
Auxiliar de Enfermagem,1968,1458,510,3.1953965506603494,2.3673212250319056
Técnico de Enfermagem,726,613,113,1.1787895811887263,0.9953140678632085
