Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,17,16,1,1.559346908824069,1.467620620069712
.. Anestesista,0,0,0,0,0
.. Cirurgião Geral,1,1,0,0.091726288754357,0.091726288754357
.. Clínico Geral,8,7,1,0.733810310034856,0.642084021280499
.. Gineco Obstetra,1,1,0,0.091726288754357,0.091726288754357
.. Médico de Família,3,3,0,0.275178866263071,0.275178866263071
.. Pediatra,1,1,0,0.091726288754357,0.091726288754357
.. Psiquiatra,1,1,0,0.091726288754357,0.091726288754357
.. Radiologista,0,0,0,0,0
Cirurgião dentista,6,5,1,0.550357732526142,0.458631443771785
Enfermeiro,6,6,0,0.550357732526142,0.550357732526142
Fisioterapeuta,1,1,0,0.091726288754357,0.091726288754357
Fonoaudiólogo,0,0,0,0,0
Nutricionista,0,0,0,0,0
Farmacêutico,0,0,0,0,0
Assistente social,0,0,0,0,0
Psicólogo,1,1,0,0.091726288754357,0.091726288754357
Auxiliar de Enfermagem,8,8,0,0.733810310034856,0.733810310034856
Técnico de Enfermagem,6,6,0,0.550357732526142,0.550357732526142
