Categoria,Total,Atendem pelo SUS,Não atendem pelo SUS,Profissionais/1000 habitantes,Profissionais pelo SUS/1000 habitantes
Médicos,2616,2040,576,9.567488095499332,7.460885212086635
.. Anestesista,101,64,37,0.36938696393174025,0.23406698704585518
.. Cirurgião Geral,265,253,12,0.9691836182367441,0.9252960581656463
.. Clínico Geral,495,446,49,1.810361852932786,1.6311543159758033
.. Gineco Obstetra,161,107,54,0.5888247642872295,0.3913307439672892
.. Médico de Família,16,16,0,0.058516746761463796,0.058516746761463796
.. Pediatra,246,184,62,0.8996949814575059,0.6729425877568337
.. Psiquiatra,35,22,13,0.12800538354070207,0.08046052679701272
.. Radiologista,57,28,29,0.20846591033771478,0.10240430683256165
Cirurgião dentista,350,194,156,1.2800538354070206,0.7095155544827485
Enfermeiro,247,219,28,0.9033522781300973,0.8009479712975357
Fisioterapeuta,84,58,26,0.30721292049768495,0.21212320701030626
Fonoaudiólogo,52,29,23,0.19017942697475734,0.10606160350515313
Nutricionista,19,13,6,0.06948863677923826,0.047544856743689336
Farmacêutico,21,16,5,0.07680323012442124,0.058516746761463796
Assistente social,31,28,3,0.1133761968503361,0.10240430683256165
Psicólogo,103,61,42,0.37670155727692317,0.22309509702808072
Auxiliar de Enfermagem,1041,844,197,3.807245836167738,3.086758391667215
Técnico de Enfermagem,109,76,33,0.3986453373124721,0.27795454711695305
